Year,Quarter,Workplace,VacancyCount,Headline,MergedColumn
2022,4,Alvesta,3,['Föräldrakooperativet Helgas Ungar söker timvikarier'],2026
2022,4,Askersund,1,['Svensk Glasåtervinning deltid'],2026
2022,4,Avesta,7,"['Brevbärare Avesta, Extrajobb', 'Brevbärare Avesta, Extrajobb', 'Brevbärare Avesta, Extrajobb']",2026
2022,4,Bollebygd,10,['Vikarie till Bollebygdskolan 4-6 '],2026
2022,4,Bollnäs,67,"['Vikarie till Resursenheten Bollnäs Kommun', 'Brevbärare Bollnäs, Extrajobb', 'Undersköterskor för timanställning/sommarvikariat, Bollnäs']",2026
2022,4,Borlänge,7,"['Skåpbilschaufför Borlänge, Extrajobb', 'Skåpbilschaufför Borlänge, Extrajobb', 'Extrajobba som receptionist åt Sodexo']",2026
2022,4,Borås,51,"['Lagermedarbetare på deltid', 'Butiksmedarbetare sökes till livsmedelsbutiker i Borås & Allingsås', 'Timvikarier inom funktionshinder och individ- och familjeomsorgen', 'Lagermedarbetare på deltid', 'Timvikarier inom funktionshinder och individ- och familjeomsorgen']",2026
2022,4,Botkyrka,54,"['Lagermedarbetare - Norsborg - Heltid', 'Lagermedarbetare - Norsborg - Heltid', 'Lagermedarbetare - Norsborg - Heltid', 'Lagermedarbetare - Norsborg - Heltid', 'Lagermedarbetare - Norsborg - Heltid']",2026
2022,4,Burlöv,2,"['Behandlingspersonal ', 'Extrajobb som Truckförare inom Terminal']",2026
2022,4,Danderyd,1,['Assistanskoordinator till larmcentral (deltidsjobb för studerande)'],2026
2022,4,Emmaboda,1,['Tullimportskoordinator'],2026
2022,4,Enköping,35,"['Lagermedarbetare - Enköping - Heltid', 'Lagermedarbetare - Enköping - Heltid', 'Lagermedarbetare - Enköping - Heltid', 'Truckförare (A1) på deltid till lager i Brunna', 'Lagermedarbetare - Enköping - Heltid']",2026
2022,4,Eskilstuna,44,"['Uniflex söker studerande truckförare till uppdrag i Eskilstuna!', 'Timanställd medicinsk sekreterare till Achima Care Eskilstuna vårdcentral', 'Butikskonsulent', 'Vi söker dig som vill ha extrajobb på ett lager i Eskilstuna!', 'Vi söker dig som vill ha extrajobb på ett lager i Eskilstuna!']",2026
2022,4,Eslöv,2,"['Extrajobb som Logistikmedarbetare hos Orkla i Eslöv', 'Extrajobb som Logistikmedarbetare hos Orkla i Eslöv']",2026
2022,4,Falköping,10,"['Brevbärare Falköping, Extrajobb', 'Brevbärare Falköping, Extrajobb']",2026
