Year,Quarter,Workplace,VacancyCount,Headline,MergedColumn
2022,4,Katrineholm,3,"['Kundcentermedarbetare, extrajobb', 'Fitness24Seven söker flexibel medarbetare till Katrineholm C']",2022 4
2022,4,Kiruna,2,"['Brevbärare Kiruna, Extrajobb']",2022 4
2022,4,Knivsta,4,['Adeccos kund på Arlanda söker godshanterare vid behov!'],2022 4
2022,4,Kristianstad,2,"['Helgextra sökes till Kristianstad', 'Butikssäljare sökes till Kristianstad. Helgextra.']",2022 4
2022,4,Kristinehamn,3,['Butikskonsulent'],2022 4
2022,4,Krokom,3,"['Brevbärare Krokom, Extrajobb', 'LSS-handläggare till Bistånd i Krokom', 'Brevbärare Krokom, Extrajobb']",2022 4
2022,4,Kumla,2,"['Brevbärare Kumla, Extrajobb']",2022 4
2022,4,Kungsbacka,6,"['Studenter sökes till extrajobb inom lager till kund i Kungsbacka!', 'Arbetsledare till vår butik i Kungsbacka', 'Extrajobb inom lager', 'Studenter sökes till extrajobb inom lager till kund i Kungsbacka!', 'Kursledare i italienska, vårterminen 2023']",2022 4
2022,4,Kungälv,14,"['Vill du jobba med att köra bilar till kunder?', 'Vill du jobba med att köra bilar till kunder?', 'Truckförare i Kungälv - 3 dagar i veckan!', 'Vill du jobba med att köra bilar till kunder?', 'Butikskonsulent']",2022 4
2022,4,Landskrona,45,"['Extrapersonal sökes till NA-KD', 'Extrajobb som truckförare i Landskrona', 'Extrajobb som truckförare i Landskrona', 'Extrapersonal sökes till NA-KD', 'Extrajobb som maskinoperatör i Landskrona']",2022 4
2022,4,Lidingö,20,"['Brevbärare Lidingö, Extrajobb', 'Skåpbilschaufför Lidingö, Extrajobb', 'Brevbärare Lidingö, Extrajobb', 'Brevbärare Lidingö, Extrajobb']",2022 4
2022,4,Lidköping,8,"['Brevbärare Lidköping, Extrajobb', 'Brevbärare Lidköping, Extrajobb']",2022 4
2022,4,Lindesberg,7,"['Brevbärare Lindesberg, Extrajobb', 'Brevbärare Lindesberg, Extrajobb']",2022 4
2022,4,Linköping,28,"['Lekfull och busig kille söker personlig assistent!', 'Extra produktionasarbete i Linköping', 'Extra produktionasarbete i Linköping', 'Lagermedarbetare - Linköping - Heltid', 'Lagermedarbetare - Linköping - Heltid']",2022 4
2022,4,Ljungby,4,"['Arbetsledare till vår butik i Ljungby', 'Lokalvårdare till Coor i Ljungby']",2022 4
2022,4,Ljusdal,2,"['Brevbärare Ljusdal, Extrajobb']",2022 4
2022,4,Lomma,2,['Personlig assistent till man i Skurup'],2022 4
2022,4,Luleå,39,"['Retail House söker Merchandiser extra personal!', 'Extrajobb till In-Store Marketing!', 'Studenter sökes för Snöskottning HSB fastigheter', 'Konsult som labbtekniker till LTU sökes', 'Terminalarbetare, extrajobb']",2022 4
2022,4,Lund,4,"['Barista Lund', 'Personlig assistent till 10-årig pojke utanför Lund', 'Personlig assistent till 10-årig pojke utanför Lund', 'Personlig assistent till 10-årig pojke utanför Lund']",2022 4
2022,4,Lycksele,1,['Lagermedarbetare - Lycksele - Heltid'],2022 4
2022,4,Malmö,53,"['Extrajobb som maskinoperatör', 'Vågadministratör till Swerock!', 'Jobba extra med dokumenthantering inom produktsäkerhet!', 'Student som söker extrajobb? Nu söker vi deltidspersonal för paketering i L', 'Truckförare sökes för deltidsarbete']",2022 4
2022,4,Mariestad,5,"['Brevbärare Mariestad, Extrajobb']",2022 4
2022,4,Mark,2,"['Timanställda lokalvårdare till Coor', 'Vi söker en personlig assistenter för två lördagsdygn i månaden']",2022 4
2022,4,Markaryd,1,['Ansvarig KAA (Kommunala Aktivitetsansvaret)'],2022 4
2022,4,Motala,7,"['Världens bästa och viktigaste extrajobb - personlig assistent i Motala!', 'Världens bästa och viktigaste extrajobb - personlig assistent i Motala!', 'Vi söker studenter för terminalarbete till välkänd kund.']",2022 4
2022,4,Mölndal,20,"['Vi söker vikarier till Grundsärskolan!', 'Nu söker vi timvikarier i förskolan!']",2022 4
2022,4,Nacka,798,"['Lagermedarbetare - Södra Stockholm - Heltid', 'Lagermedarbetare - Huddinge - Heltid', 'Lagermedarbetare - Huddinge - Heltid', 'Lagermedarbetare - Årsta - Heltid', 'Lagermedarbetare - Farsta - Heltid']",2022 4
2022,4,Nordmaling,5,"['Personlig assistent - Timvikarie till Nordmaling ', 'Personlig assistent - Timvikarie till Nordmaling ', 'Personlig assistent - Vikariat Nordmaling ', 'Personliga assistenter till livsglad, fartfylld ung man (timvik) RUNDVIK', 'Personlig assistent - Timvikarie till Nordmaling ']",2022 4
2022,4,Norrköping,55,"['Lagermedarbetare - Norrköping - Heltid', 'Extrajobba som produktionspersonal', 'Snöskottare Norrköping', 'Lagermedarbetare - Norrköping - Heltid', 'Lagermedarbetare - Norrköping - Heltid']",2022 4
2022,4,Norsjö,1,"['Brevbärare Norsjö, Extrajobb']",2022 4
2022,4,Nyköping,9,"['Digital marknadsförare till Fleximark i Nyköping!', 'Skåpbilschaufför Nyköping, Extrajobb', 'Brevbärare Nyköping, Extrajobb', 'Brevbärare Nyköping, Extrajobb']",2022 4
2022,4,Nynäshamn,2,"['Brevbärare Nynäshamn, Extrajobb']",2022 4
2022,4,Nässjö,1,['Barista Nässjö'],2022 4
2022,4,Pajala,3,['Distributör Pajala'],2022 4
2022,4,Partille,2,"['Personlig assistent sökes för arbete två dagar i veckan', 'Ungdomsbehandlare - deltid vaken natt - extrajobb']",2022 4
2022,4,Piteå,2,"['Extrajobb till In-Store Marketing!', 'Extrajobb till In-Store Marketing!']",2022 4
2022,4,Robertsfors,3,"['Brevbärare Robertsfors, Extrajobb', 'Brevbärare Robertsfors, Extrajobb', 'Brevbärare Robertsfors, Extrajobb']",2022 4
2022,4,Sala,3,"['Brevbärare Sala, Extrajobb', 'X-tra jobb på Sala stadsbibliotek']",2022 4
2022,4,Sandviken,4,"['Brevbärare Sandviken, Extrajobb']",2022 4
2022,4,Sigtuna,31,"['Lagermedarbetare - Rosersberg - Heltid', 'Lagermedarbetare - Rosersberg - Heltid', 'Lagermedarbetare - Rosersberg - Heltid', 'Lagermedarbetare - Årsta - Heltid', 'Lagermedarbetare - Rosersberg - Heltid']",2022 4
2022,4,Simrishamn,1,['Produktionspersonal'],2022 4
2022,4,Skara,1,['Butiksmedarbetare sökes till livsmedelsbutiker i Skaraborg'],2022 4
2022,4,Skellefteå,18,"['Extrajobb som B-chaufför', 'Schenker - extrajobb', 'Ledsagare och avlösare LSS', 'Extrajobb till In-Store Marketing!', 'Perfekt extrajobb för dig som är student!']",2022 4
2022,4,Skurup,1,['Behandlingsassistent till aktivitetshuset Pomona'],2022 4
2022,4,Skövde,5,"['Engagerade studenter till 3-dagars sportevent!', 'Butikssäljare Skövde. Helgextra sökes!', 'Lokalvårdare till Coor (timanställning)', 'Brevbärare Skövde, Extrajobb']",2022 4
2022,4,Sollentuna,72,"['Lagermedarbetare - Sollentuna - Heltid', 'Lagermedarbetare - Sollentuna - Heltid', 'Lagermedarbetare - Sollentuna - Heltid', 'Lagermedarbetare - Sollentuna - Heltid', 'Lagermedarbetare - Sollentuna - Heltid']",2022 4
2022,4,Solna,42,"['Timanställda lokalvårdare för läktstädning till Coor', 'Cafébiträde till Coor på Karolinska Universitetssjukhuset i Solna', 'Lagermedarbetare - Norra Stockholm - Heltid', 'Lagermedarbetare - Solna - Heltid', 'Lagermedarbetare - Norra Stockholm - Heltid']",2022 4
2022,4,Staffanstorp,4,"['Personlig assistent till 10-årig pojke i Staffanstorp', 'Personlig assistent till 10-årig pojke i Staffanstorp', 'Personlig assistent till 10-årig pojke i Staffanstorp', 'Personlig assistent till 10-årig pojke i Staffanstorp']",2022 4
2022,4,Stenungsund,42,"['Jörlandaskolan söker lärare i MA, SV, NO/Tk för åk 4-6 ', 'Sektor Utbildning söker legitimerad psykolog till Barn- och Elevhälsan', 'Skoladministratör till Nösnäsgymnasiet', 'Stenungsunds kommun söker skolkurator', 'Kopperskolan söker lärare i fritidshem']",2022 4
2022,4,Stockholm,1640,"['Flexibelt extrajobb under julbordssäsongen', 'Lagermedarbetare - Västberga - Heltid', 'Extrajobb för leverans av matkassar från Kungsängen', 'Lagermedarbetare - Södermalm - Heltid', 'Extrajobb i Årsta på Apohems lager']",2022 4
2022,4,Storuman,1,"['Brevbärare Storuman, Extrajobb']",2022 4
2022,4,Strängnäs,20,"['Uniflex söker studerande truckförare till uppdrag i Eskilstuna!', 'Uniflex söker studerande truckförare till uppdrag i Eskilstuna!']",2022 4
2022,4,Strömstad,1,"['Skåpbilschaufför Strömstad, Extrajobb']",2022 4
2022,4,Strömsund,3,"['Brevbärare Gäddede, Extrajobb', 'Brevbärare Strömsund, Extrajobb', 'Brevbärare Strömsund, Extrajobb']",2022 4
2022,4,Sundsvall,48,"['Utvecklande extrajobb som jobbcoach!', 'Retail House söker Merchandiser extra personal!', 'Extrajobb till In-Store Marketing!', 'Studenter för julkortssortering i Sundsvall', 'Extrajobb till In-Store Marketing!']",2022 4
2022,4,Svedala,1,['Extrajobba som Leveranschaufför (Runner)'],2022 4
2022,4,Svenljunga,10,['Lagermedarbetare till StarTrading'],2022 4
2022,4,Sävsjö,1,"['Tidningsbud Sävsjö/deltid, nattarbete']",2022 4
2022,4,Södertälje,63,"['Studentmedarbetare', 'Lagermedarbetare - Södertälje - Heltid', 'Lagermedarbetare - Södertälje - Heltid', 'Lagermedarbetare - Södertälje - Heltid', 'Brevbärare Södertälje, Extrajobb']",2022 4
2022,4,Tanum,1,"['Brevbärare Tanumshede, Extrajobb']",2022 4
2022,4,Tibro,2,"['Brevbärare Tibro, Extrajobb']",2022 4
2022,4,Tingsryd,1,['Extrapersonal inom lager hos kund i Tingsryd'],2022 4
2022,4,Tomelilla,40,"['Timvikarier sökes till skola/fritidshem i Tomelilla kommun!', 'Timvikarier sökes till förskolor i Tomelilla Kommun!']",2022 4
2022,4,Tranemo,1,['Butiksmedarbetare sökes till livsmedelsbutiker i Gislaved'],2022 4
2022,4,Tranås,3,"['Tidningsbud Tranås/deltid, nattarbete', 'Tidningsbud Tranås/deltid, nattarbete', 'HR-konsult inom rekrytering ']",2022 4
2022,4,Trelleborg,1,['Barista Trelleborg'],2022 4
2022,4,Trollhättan,12,"['Jobba extra på Elektroskandia i Trollhättan!', 'Timvikarie måltidsbiträde till Serviceförvaltningen', 'Vill du jobba extra på Gymngrossisten i Trollhättan?', 'Brevbärare Trollhättan, Extrajobb', 'Butikskonsulent']",2022 4
2022,4,Tyresö,6,"['Nu söker vi en assistent till en aktiv 6-årig kille som älskar aktiv lek -T', 'Nu söker vi en assistent till en aktiv 6-årig kille som älskar aktiv lek -T', 'Se hit! Aktiv 6-årig kille som älskar aktiv lek -Tyresö söker assistenter. ']",2022 4
2022,4,Täby,83,"['Lagermedarbetare - Täby - Heltid', 'Lagermedarbetare - Täby - Heltid', 'Lagermedarbetare - Täby - Heltid', 'Lagermedarbetare - Täby - Heltid', 'Lagermedarbetare - Täby - Heltid']",2022 4
2022,4,Uddevalla,3,['Butikskonsulent'],2022 4
2022,4,Ulricehamn,2,"['Vill du jobba extra inom lager/logistik och industri? Se hit!', 'Vill du jobba extra inom lager/logistik och industri? Se hit!']",2022 4
2022,4,Umeå,19,"['Extrajobba som receptionist åt Sodexo', 'Studenter till Schenker', 'Retail House söker Merchandiser extra personal!', 'Terminalarbetare, extrajobb', 'Terminalarbetare Umeå, Extrajobb']",2022 4
2022,4,Upplands-Bro,89,"['Lokalvårdare deltid - Kungsängen', 'Truckförare (A1) på deltid till lager i Brunna', 'JENSEN grundskola Bro Mälarstrand söker timvikarier', 'Lagermedarbetare - Kungsängen - Heltid', 'Lagermedarbetare - Kungsängen - Heltid']",2022 4
2022,4,Uppsala,35,"['Operatör hos Strålfors i Rosersberg! | Extrajobb', 'Butiksmedarbetare med tidigare erfarenhet Uppsala.', 'Brevbärare Uppsala, Extrajobb', 'Brevbärare Uppsala, Extrajobb']",2022 4
2022,4,Vaggeryd,20,"['TopWork söker industrimedarbetare...', 'TopWork söker industrimedarbetare...', 'TopWork söker industrimedarbetare...', 'TopWork söker industrimedarbetare...']",2022 4
