Year,Quarter,Workplace,VacancyCount,Headline,MergedColumn
2021,4,Kalix,5,"['Distributörer, Kalix och Töre', 'Aktivitetsansvarig ref. nr 113/21 ', 'Distributörer, Kalix och Töre']",2021 4
2021,4,Kalmar,11,"['50% tjänst sökes till kvinna i Kalmar. ', 'Personlig assistent 90%', 'Vi söker dig som söker extrajobb!', 'Brevbärare Kalmar, behovsanställning']",2021 4
2021,4,Karlskoga,2,['Fotbollsintresserad eventpersonal sökes till eventturné!'],2021 4
2021,4,Karlstad,1,['C-chaufförer sökes till vår kund i Karlstad'],2021 4
2021,4,Katrineholm,24,"['Söker dig som vill jobba extra i Katrineholm', 'Distributörer till Katrineholm', 'Extrapersonal Kundcentermedarbetare i Katrineholm', 'Söker dig som vill jobba extra i Katrineholm', 'Har du en annan bisyssla och vill arbeta extra inom miljöhantering']",2021 4
2021,4,Kiruna,5,"['Brevbärare Vittangi, behovsanställning', 'Brevbärare Vittangi, behovsanställning', 'Morgondistributör Kiruna']",2021 4
2021,4,Kristianstad,6,"['Butiksmedarbetare sökes till ICA, Coop och hemköp i Kristianstad omnejd', 'Extrajobb som växeltelefonist', 'Chaufför (B) Kristianstad, behovsanställning']",2021 4
2021,4,Kungsbacka,35,"['Julkortsorterare Kungsbacka, extrapersonal inför jul', 'Julkortsorterare Kungsbacka, behovsanställning inför jul', 'Extrajobb inom lager hos kund i Fjärås', 'Julkortsorterare Kungsbacka, behovsanställning inför jul', 'Arbetsledare till Kungsbacka']",2021 4
2021,4,Kungälv,4,['Budbilschaufför sökes på deltid!'],2021 4
2021,4,Kävlinge,2,['Fotbollsintresserad eventpersonal sökes till eventturné!'],2021 4
2021,4,Köping,17,"['Uniflex söker studerande truckförare till uppdrag i Eskilstuna!', 'Brödplock i Köping', 'Brödplock i Köping', 'Lagerarbetare på deltid sökes till kund i Köping', 'Brödplock i Köping']",2021 4
2021,4,Landskrona,1,"['Brevbärare Landskrona, behovsanställning']",2021 4
2021,4,Lerum,11,"['Lagerarbetare på DELTID till Stenkullen!', 'Extrajobb hos kund i Stenkullen!', 'Personlig assistent 50% i Lerum']",2021 4
2021,4,Lidingö,3,"['Arbete- och studiecoach', 'NannyCare söker en barnvakt åt familj på Lidingö']",2021 4
2021,4,Lidköping,11,"['Manlig Personlig Assistent Deltid', 'Vill du jobba extra inom lager och industri?', 'Extrapersonal till Petainer Lidköping AB', 'Brevbärare Lidköping, behovsanställning']",2021 4
2021,4,Lindesberg,3,"['Extra Brevbärare, Lindesberg']",2021 4
2021,4,Linköping,66,"['Produktionsarbete i Linköping', 'Student? Jobba deltid som kassapersonal på Blomsterlandet!', 'Extrajobb som Livsmedelsoperatör', 'Orderplockare med truckkort sökes för behovsanställning hos kund i Skänn...', 'Produktionsarbete i Linköping']",2021 4
2021,4,Ljungby,34,"['Brevbärare Ljungby, behovsanställning', 'Ledigt extrajobb på PostNord Strålfors i Ljungby', 'Fotbollsintresserad eventpersonal sökes till eventturné!', 'Ledigt extrajobb på PostNord Strålfors i Ljungby', 'Butikschef - Ljungby']",2021 4
2021,4,Ljusdal,14,"['Brevbärare Ljusdal, behovsanställning', 'Brevbärare Ljusdal, behovsanställning', 'Brevbärare Ljusdal, behovsanställning', 'Brevbärare Ljusdal, behovsanställning']",2021 4
2021,4,Ludvika,2,"['Brevbärare Ludvika, behovsanställning']",2021 4
2021,4,Luleå,39,"['Distributörer, Boden', 'Distributörer, Luleå', 'Extrajobb som växeltelefonist till Luleå', 'Lönehandläggare', 'Vill du jobba extra hos oss?']",2021 4
2021,4,Lund,18,"['Extrajobb som personlig assistent till man i Lund. Deltid 30%', 'Städmaskinsförare för deltidsarbete i Lund', 'Administratörer på deltid sökes till företag centralt i Malmö!', 'Barista Lund', 'Barista Lund']",2021 4
2021,4,Lycksele,1,"['Lastbilschaufför C Lycksele, behovsanställning']",2021 4
2021,4,Malmö,127,"['Butiksvärdar sökes till Elfa och deras studio i Malmö', 'Extraarbete på lager i Malmö! ', 'Butiksjobb inom delikatess och chark till våra kunder  i Malmö omnejd', 'Butiksvärdar sökes till Elfa och deras studio i Malmö', 'Ekonomiassistent på deltid']",2021 4
2021,4,Malung-Sälen,1,['Sugen på att extrajobba i fjällen? '],2021 4
2021,4,Mariestad,1,"['Brevbärare Mariestad, behovsanställning']",2021 4
2021,4,Mark,1,['Pedagogisk och engagerad assistent sökes till 12-årig flicka. '],2021 4
2021,4,Mjölby,5,['Distributörer Mjölby'],2021 4
2021,4,Mora,1,['Nu söker vi dig som är ute efter extrajobb nattetid'],2021 4
2021,4,Mullsjö,8,['Extraarbete som maskinoperatör'],2021 4
2021,4,Munkedal,1,['Samordnare'],2021 4
2021,4,Mölndal,40,"['Nu söker vi timvikarier i grundsärskolan!', 'Nu söker vi timvikarier i skola och förskola!']",2021 4
2021,4,Mörbylånga,2,"['Timvikarier till Bemanningsenheten OFV', 'Timvikarier till Social omsorg – Äldreomsorg']",2021 4
2021,4,Nacka,6,"['Personlig assistent – helg och kväll (5-15h/vecka) – till tioårig pojke i N', 'Lagerarbetare - Nacka - Heltid', 'Personlig assistent – helg och kväll (5-15h/vecka) – till tioårig pojke i N', 'JENSEN grundskola Sickla söker timvikarier']",2021 4
2021,4,Norrköping,29,"['Extrajobb under jullovet som entrévärd i välkänd butik!', 'Lagerarbetare på deltid sökes till vår kund i Norrköping!', 'Junior juridisk konsult till Energia Capital / Deltid / Extrajobb', 'Butikschef', 'Vikarierande personliga assistenter sökes till Särnmark Assistans AB']",2021 4
2021,4,Nybro,3,"['Sorterare Nybro, behovsanställning']",2021 4
2021,4,Nyköping,1,['Fitness24Seven söker Timvikarierande Site Responsible till Nyköping på 20%'],2021 4
2021,4,Nynäshamn,4,"['Personlig assistent sökes i Nynäs.', 'Inhoppare/timmis i Nynäs!']",2021 4
2021,4,Nässjö,5,"['Behovspersonal ', 'Timanställd städpersonal till helg']",2021 4
2021,4,Oskarshamn,2,"['Brevbärare + B-chaufför, Oskarshamn, behovsanställning']",2021 4
2021,4,Piteå,49,"['Fotbollsintresserad eventpersonal sökes till eventturné!', 'Ekonomistudent? Arbeta deltid hos Swedbank!', 'Vill du jobba extra hos oss?', 'Distributörer, Piteå', 'Extrajobb / Budbilsförare / Terminalarbetare']",2021 4
2021,4,Rättvik,4,"['Brevbärare Rättvik, behovsanställning', 'Brevbärare Rättvik, behovsanställning']",2021 4
2021,4,Sandviken,3,"['Brevbärare Sandviken, behovsanställning', 'Fitness24Seven söker Site Responsible till Sandviken på 50% och timvikarie!']",2021 4
2021,4,Sigtuna,18,"['Extra jobb Måndag-Fredag 16:00-21:00 hos DHL Express Arlanda ', 'Studenter sökes för extrajobb på lager i Rosersberg!']",2021 4
2021,4,Sjöbo,5,"['Timvikarier till Storkskolan! Förskoleklass, fritidshem och skola!', 'Timvikarier till Färsingaskolan']",2021 4
2021,4,Skara,2,['Fotbollsintresserad eventpersonal sökes till eventturné!'],2021 4
2021,4,Skellefteå,8,"['Clockwork söker extrapersonal i Skellefteå! ', 'Distributörer, Skellefteå', 'Distributörer, Skellefteå', 'Distributör Burträsk']",2021 4
2021,4,Skurup,4,"['Deltidsarbete på natt till terminal på Sturup', 'Deltidsarbete på natt till terminal på Sturup']",2021 4
2021,4,Skövde,13,"['Vill du jobba extra inom lager och industri?', 'Personliga assistenter som timvikarie sökes till kille i Skövde']",2021 4
2021,4,Sollefteå,2,['Fotbollsintresserad eventpersonal sökes till eventturné!'],2021 4
2021,4,Sollentuna,11,"['Extrajobb på lager i Sollentuna', 'Lagerarbetare - Rotebro - Heltid']",2021 4
2021,4,Solna,25,"['Vi söker dig som vill jobba extra med lager och logistik!', 'Lagerarbetare - Solna - Heltid', 'Vi söker dig som vill jobba extra med lager och logistik!']",2021 4
2021,4,Stenungsund,74,"['Bli en del av Stora Högaskolan 7-9 -  Sök till socialpedagog!', 'Är du speciallärare? Sök till Spekerödskolan och bli vår nya kollega', 'Är du Ekenässkolans nya Rektor?', 'Stenungsunds kommun söker studiehandledare i turkiska samt kakwa', 'Matintresserad butiksmedarbetare sökes till ICA, Coop och hemköp i Stenu...']",2021 4
2021,4,Stockholm,1007,"['Extrajobb som chaufför - Stockholm', 'Butiksmedarbetare matbutiker Stockholm!', 'Lagermedarbetare - Märsta', 'Lagermedarbetare - Västberga - Heltid', 'Julkortsorterare till Årsta 12-19 december']",2021 4
2021,4,Storuman,3,"['Brevbärare Tärnaby, behovsanställning', 'Brevbärare Storuman, behovsanställning', 'Brevbärare Storuman, behovsanställning']",2021 4
2021,4,Strängnäs,11,"['Lagerarbetare sökes till kund i Strängnäs!', 'Vi söker student som vill arbeta extra varannan helg på Hammargården', 'Lagerarbetare sökes till kund i Strängnäs!', 'Vi söker student som vill arbeta extra varannan helg på Mariagården', 'Truckförare motviktstruck']",2021 4
2021,4,Strömstad,1,['Extrajobb som personlig assistent i Strömstad'],2021 4
2021,4,Sundsvall,43,"['Jobba med julkortssortering i december!', 'Personliga assistenter- extrajobb på dagtid!', 'EXTRAPERSONAL SÖKES- vi utökar vårat team!', 'Serviceinriktad receptionist sökes till Emhart!', 'Jobba NATT med julkortsortering i december!']",2021 4
2021,4,Sunne,2,"['Brevbärare Sunne, behovsanställning']",2021 4
2021,4,Svalöv,5,['Adecco söker dig som vill jobba extra!'],2021 4
2021,4,Svedala,5,"['Deltidsarbete på natt till terminal på Sturup', 'Deltidsarbete på kvällstid till terminal på Sturup', 'Barnskötare för timanställning ']",2021 4
2021,4,Säter,1,['Studie- och yrkesvägledare med inriktning KAA'],2021 4
2021,4,Söderhamn,2,['Personliga assistenter till Söderhamn '],2021 4
2021,4,Söderköping,5,['Planeringsenheten söker timvikarier till kosten'],2021 4
2021,4,Södertälje,13,"['Brevbärare Södertälje, behovsanställning', 'Timanställda sjuksköterskor, Södertälje kommun', 'Brevbärare Södertälje BBK, behovsanställning', 'Receptionist på deltid till Södertälje', 'Brevbärare Södertälje BBK, behovsanställning']",2021 4
2021,4,Tierp,2,['Fotbollsintresserad eventpersonal sökes till eventturné!'],2021 4
2021,4,Tjörn,10,['Timvikarier Vård och omsorg'],2021 4
2021,4,Tranemo,5,"['Vi söker dig med annan huvudsaklig sysselsättning!', 'Vi söker dig med annan huvudsaklig sysselsättning!', 'Vi söker dig med annan huvudsaklig sysselsättning!']",2021 4
