Year,Quarter,Workplace,VacancyCount,Headline
2022,1,Bollnäs,10.0,"['Brevbärare Bollnäs, behovsanställning', 'Behandlingspedagoger till Rasmus HVB', 'Helgvikarier till Bollnäs hemtjänst, ett extra jobb för dig som studerar']"
2022,1,Borlänge,43.0,"['Varuplockare sökes till matbutiker i Borlänge/Falun/Gävle', 'Varuplockare sökes till matbutiker i Borlänge/Falun/Gävle', 'Varuplockare sökes till matbutiker i Borlänge/Falun/Gävle', 'Aktivt extrajobb som chaufför - Borlänge', 'Varuplockare sökes till matbutiker i Borlänge/Falun/Gävle', 'Är du studerande och vill arbeta extra som administratör?', 'Söker du extraarbete? Se hit!', 'Har du C/CE behörighet och vill arbeta deltid?', 'Varuplockare sökes till matbutiker i Borlänge/Falun/Gävle', 'Centric Care söker sjuksköterska till Säbo i Borlänge!', 'CE-chaufförer ', 'Centric Care söker sjuksköterska till Säbo i Borlänge!', 'Centric Care söker sjuksköterska till Säbo i Borlänge!', 'Varuplockare sökes till matbutiker i Borlänge/Falun/Gävle/Avesta', 'Chaufför (B) Borlänge, behovsanställning', 'Varuplockare sökes till matbutiker i Borlänge/Falun/Gävle/Avesta', 'Samordnare till funktionshinderomsorgen 1', 'Varuplockare sökes till matbutiker i Borlänge/Falun/Gävle/Avesta', 'Varuplockare sökes till matbutiker i Borlänge/Falun/Gävle/Avesta', 'Verkställande handläggare till funktionshinderomsorgen 1']"
2022,1,Borås,227.0,"['Extraarbetare på dagtid sökes till Bubblerooms lager i Borås', 'Nu söker vi extra lagermedarbetare till Ulricehamnsområdet', 'Titta hit! Nu söker vi fler duktiga lagermedarbetare!', 'HR-specialist', 'Lediga extrajobb i Borås som containerlossare!', 'Studenter sökes till lager i centrala Borås!', 'Truckförare på deltid till lager i Borås sökes!', 'Studenter till dagtid sökes', 'Lagerarbetare sökes på deltid till Manpower i Borås/ Viared', 'Extrajobb: Rekryterare till Speed Group', 'Lagermedarbetare sökes!', 'Söker du deltid med arbete på vardagar? Se hit!', 'Arbetsledare till vår butik i Borås', 'Personlig assistent, extratjänst (Helg, lov och vid behov)', 'Manpower söker extrapersonal till centralt lager i Borås!', 'Truckförare på deltid till lager i Borås sökes!', 'Ekonomiassistent på deltid till Optidev', 'Ekonomiassistent på deltid till NetOnNet', 'Sommarjobb: Erfarna truckförare till Speed Group', 'Extrajobb kundansvarig till ICA Bankens kundservice i Borås', 'Merchandiser sökes till vikariepool i Borås med omnejd', 'Extrajobb: Rekryterare till Speed Group', 'Extra personal för lagerjobb på måndagar och tisdagar ', 'Extraarbetare på dagtid sökes till Bubblerooms lager i Borås', 'Extrajobba som butiksmedarbetare i Borås!', 'Sommarjobb och extrajobb på lager i Viared', 'Studenter till dagtid sökes', 'Extrajobb: Rekryterare till Speed Group', 'Returhanterare sökes till kund i centrala Borås', 'Merchandiser sökes till vikariepool i Borås med omnejd', 'Extrajobb som Lagerarbetare', 'Butikssäljare på Iittala Outlet', 'Extra personal sökes med inriktning mot textil och lager', 'Söker du deltid med arbete på vardagar? Se hit!', 'Personlig assistent - extra sommar, helger och vid behov', 'Kommande uppdrag inom Lager i Borås', 'Ledig extrajobb på Lindex lager i Borås! ', 'Bemanningspool', 'Ungdomsbehandlare till mobilt ungdomsteam', 'Extrajobb - Lagerpersonal till DFDS', 'Extrajobb: Rekryterare till Speed Group', 'Sommarjobb! Vi söker flera montörer till vår produktion i Viared, Borås', 'Stödassistenter till bemanningsenhet', 'Studenter för kommande behov sökes! ', 'HR-specialist', 'Eventpersonal i Borås', 'Returhanterare sökes till kund i centrala Borås', 'Extrajobb som Lagerarbetare', 'Söker lagermedarbetare på deltid', 'Aktivitetsledare till Aventi i Borås', 'Butikssäljare Extra, Borås', 'Sommarjobb: Erfarna truckförare till Speed Group', 'Extrajobb kundansvarig till ICA Bankens kundservice i Borås', 'Arbetsledare E-handel Borås', 'Truckförare deltid Borås', 'Är du student eller deltidsarbetande?']"
2022,1,Botkyrka,15.0,"['Feriepraktiksassistent', 'Arbetsmarknadscoach till Arena', 'Stödassistent/ Arbetshandledare', 'Arbetsmarknadskonsulent', 'Terminalarbetare/Tumba', 'Stödassistent/Arbetshandledare', 'Produktionsledare, Terapiverkstad  till VO Sthlm Syd (anstalten Asptuna), V', 'Stödassistent', 'Förvaltningsekonom', 'Maskinoperatörer med annan sysselsättning sökes till kund i Tullinge']"
2022,1,Burlöv,3.0,"['Föreståndare till HVB-Hem', 'Föreståndare till HVB-Hem', '16-årig kille i Åkarp söker lekfull assistent 50% eller timvikarie']"
2022,1,Båstad,12.0,"['Vi söker säljare på heltid och deltid!', 'Vi söker säljare på heltid och deltid!', 'Vi söker säljare på heltid och deltid!', 'Boendevärdar till akutboende i Båstad']"
2022,1,Danderyd,71.0,"['Barnvakt Stockholm Danderyd 3em/v - Kollektivavtal', 'Vill du arbeta hos oss i sommar?', 'Barnvakt Stockholm Danderyd 2 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2-3ggr/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2-3ggr/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2-3ggr/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2-3ggr/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2-3ggr/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2-3ggr/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Stocksund 4 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2-3ggr/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2em/v - Kollektivavtal', 'Barnvakt Stockholm Stocksund 4 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2em/v - Kollektivavtal', 'Barnvakt Stockholm Stocksund 4 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Stocksund 4 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Stocksund 4 em/v - Kollektivavtal', 'Barnvakt Stockholm Stocksund 4 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2em/v - Kollektivavtal', 'Barnvakt Stockholm Stocksund 4 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2em/v - Kollektivavtal', 'Barnvakt Stockholm Danderyd 5ggr/v - Kollektivavtal', 'Barnvakt Stockholm Danderyd 5ggr/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2em/v - Kollektivavtal', 'Barnvakt Stockholm Danderyd 2dag/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 2em/v - Kollektivavtal', 'Vill du arbeta hos oss i sommar?', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Rivare/Grovarbetare,extra/Danderyd', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Rivare/Grovarbetare,extra/Danderyd', 'Barnvakt Stockholm Danderyd 2dag/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Djursholm 3-5 em/v - Kollektivavtal', 'Barnvakt Stockholm Djursholm 4em/v - Kollektivavtal']"
2022,1,Ekerö,148.0,"['Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1em/v - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 5ggr/vecka – Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 5ggr/vecka – Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 5ggr/vecka – Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 5ggr/vecka – Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 5ggr/vecka – Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 5ggr/vecka – Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Produktionsledare (snickeri, montering, förpackning) anstalterna Svartsjö& ', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 1-2 em/v - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Produktionsledare (jordbruk, utemiljö, växtodling) anstalterna Svartsjö, Fä', 'Barnvakt Stockholm Ekerö 2 em/vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 5ggr/vecka – Kollektivavtal', 'Barnvakt Stockholm Ekerö varannan vecka - Kollektivavtal', 'Barnvakt Ekerö 3em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 5ggr/vecka – Kollektivavtal', 'Barnvakt Stockholm Ekerö varannan vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö varannan vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö varannan vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö varannan vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 4em/VV - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 4em/VV - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 4em/VV - Kollektivavtal', 'Barnvakt Stockholm Ekerö 4em/VV - Kollektivavtal', 'Barnvakt Stcokholm Ekerö 2em/v - Kollektivavtal', 'Barnvakt Stcokholm Ekerö 2em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 2-3fm/v - Kollektivavtal', 'Barnvakt Stcokholm Ekerö 2em/v - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal', 'Barnvakt Stockholm Ekerö 1 em/vecka - Kollektivavtal']"
2022,1,Eksjö,4.0,"['Behandlingsassistent Nytida Navigatorn', 'Behovspersonal', 'Chaufför till vår butik i Eksjö']"
2022,1,Enköping,77.0,"['Studenter sökes för extrajobb på läkemedelslager i Enköping!', 'behandlingsassistent', 'Studenter sökes för extrajobb på läkemedelslager i Enköping!', 'Orderplockare hos Martin och Servera Enköping - Extrajobb', 'Engagerad assistent till en pojke i Enköping', 'Extrajobb som orderplockare hos Martin och Servera i Enköping', 'Handledare till daglig verksamhet i Enköping', 'Studenter sökes för extrajobb på läkemedelslager i Enköping!', 'Brevbärare Enköping, behovsanställning', 'Serveringspersonal', 'Långsiktigt extrajobb som orderplockare hos Martin och Servera - Enköping', 'Barnvakt Enköping Sporadiskt - Kollektivavtal', 'Barnvakt Enköping Sporadiskt - Kollektivavtal', 'Studenter sökes för sommarjobb på lager i Enköping']"
